letter,first,second,third,fourth,fifth
a,475,1653,836,678,581
b,660,48,216,176,33
c,675,121,305,328,84
d,457,56,274,343,470
e,183,1088,541,1589,1087
f,421,15,108,120,44
g,399,36,247,284,88
h,339,390,60,153,272
i,103,985,708,565,196
j,117,6,19,21,0
k,198,45,160,316,194
l,399,478,647,529,337
m,572,103,340,260,117
n,243,206,766,572,434
o,150,1426,657,441,354
p,640,140,238,247,105
q,51,11,9,1,2
r,442,650,830,484,524
s,1046,63,370,381,2299
t,560,167,477,686,483
u,73,765,399,254,44
v,176,36,181,104,0
w,268,93,114,76,28
x,9,33,77,8,55
y,58,127,103,67,896
z,40,13,72,71,27
