letter,first,second,third,fourth,fifth
a,2822,7387,3340,3998,4395
b,2347,435,1118,761,342
c,2445,887,1486,1687,917
d,1946,546,1480,1543,1455
e,1436,4847,2552,5534,4538
f,1450,354,524,522,358
g,1921,411,1331,1156,765
h,1606,1399,757,835,1036
i,1176,4061,2918,3491,2103
j,846,103,255,216,65
k,1705,349,789,1206,917
l,1751,1787,2714,2152,1971
m,2445,687,1728,1205,892
n,1658,1156,3125,2498,3010
o,1102,5526,2671,2642,2686
p,2172,714,1085,908,632
q,170,66,82,34,68
r,1793,2443,3572,2226,2151
s,3430,1070,2097,1745,5341
t,2144,922,2141,2599,2050
u,569,2897,1487,1285,568
v,912,293,780,409,203
w,1015,398,497,275,206
x,258,188,328,117,565
y,416,845,626,501,2229
z,398,162,450,388,470
